Model,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,Validation AUC-PR,Total Parameters,Model Size (MB),Training Time (seconds),Training Time (minutes),Total Search Time (minutes),Dropout Rate,Learning Rate,Batch Size,Weight Decay
BERT,0.9405,0.8997168791439701,0.9488584548313321,0.9192230730135879,0.9806497695119525,109581446,418.0200424194336,391.3776361942291,6.522960603237152,100.49487609068552,0.1,3e-05,16,0.0
ELECTRA,0.931,0.8917031798023479,0.9404808285312313,0.9104681479661108,0.9672865874787249,13516678,51.562034606933594,78.88984513282776,1.314830752213796,24.00312549273173,0.1,3e-05,32,0.01
RoBERTa,0.9305,0.8840436074599142,0.9423421421489211,0.9082966589085193,0.9793599331521214,124744838,475.8637924194336,397.23987650871277,6.620664608478546,101.0813172141711,0.1,3e-05,16,0.01
