Model,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,Validation AUC-PR,Total Parameters,Model Size (MB),Inference Time (seconds),Inference Time (minutes),Total Search Time (minutes),Dropout Rate,Learning Rate,Batch Size,Weight Decay
RoBERTa,0.9385,0.8949158592479377,0.9461338895198104,0.9164659536519948,0.9815681910308615,124744838,475.95599937438965,1.9932381973734923,0.033220636622891535,119.55975915988286,0.3,2e-05,32,0.01
BERT,0.938,0.893899619699131,0.9488777608170524,0.9163484627591584,0.9813914306902102,109581446,418.11165714263916,2.2118042808026077,0.03686340468004346,4.937648773193359e-05,0.3,3e-05,32,0.01
Quantize RoBERTa,0.9355,0.8931306748245307,0.9465860941503857,0.9156606216292079,0.980815790648716,39037440,231.06830883026123,44.34317499399185,0.7390529165665308,0.0,0.3,2e-05,32,0.01
ELECTRA,0.9355,0.8922571645755754,0.9466084371647362,0.9147178461517779,0.9802086490544073,13516678,51.65411949157715,0.330399222439155,0.005506653707319249,16.378794026374816,0.3,3e-05,32,0.01
Prune RoBERTa,0.921,0.8874857283125497,0.9130901349926214,0.8978765491739766,0.9722353308298116,124744838,475.9572448730469,2.010522324591875,0.033508705409864586,1.62985759973526,0.3,2e-05,32,0.01
